MicrobialBiomass,Respiration,mismatch
0.171966709,-0.411373545,1
-0.015405351,-0.410962648,0
-0.241819159,0.354094297,1
-0.213539087,0.354992242,1
-0.518575496,-0.026111144,0
-0.293851123,-0.168384049,0
-0.558357548,-0.052440033,0
-0.140699882,-0.405031551,0
-0.295431945,0.306350941,1
-0.154560768,0.341292714,1
-0.561423859,0.302025942,1
-0.2463896,-0.261150777,0
0.214274755,0.221448426,0
0.03807633,0.142797239,0
0.132759078,0.04212333,0
0.214274755,0.221448426,0
0.03807633,0.142797239,0
0.132759078,0.04212333,0
0.294977571,0.230259814,0
0.178566558,-0.013072082,1
-0.105909815,0.364547653,1
-0.105909815,0.364547653,1
0.111427392,0.191291725,0
0.153204158,0.397682968,0
0.153204158,0.397682968,0
0.19436226,0.222981857,0
0.19436226,0.222981857,0
0.025461064,-0.831540971,1
-0.156881057,0.196735182,1
0.284553569,0.281756144,0
0.302302613,0.073629479,0
0.032523192,0.43473549,0
-0.002068253,0.312133168,1
0.056239718,0.155564108,0
0.032523192,0.43473549,0
-0.002068253,0.312133168,1
0.056239718,0.155564108,0
0.364346892,0.743334065,0
0.143210463,-0.014815186,1
0.407764156,0.707746077,0
0.364346892,0.743334065,0
0.143210463,-0.014815186,1
0.407764156,0.707746077,0
0.077860315,0.221535683,0
-0.055136184,-1.222756057,0
0.195227125,0.316478364,0
-0.004565063,-0.850384354,0
0.013571467,0.162750956,0
0.056567839,-0.229881821,1
-0.125286455,0.029658313,1
-0.322414879,-0.097302173,0
-0.125286455,0.029658313,1
-0.322414879,-0.097302173,0
0.015229242,0.988611393,0
-0.162365119,1.183770097,1
0.144910111,0.396881364,0
0.015229242,0.988611393,0
-0.162365119,1.183770097,1
0.144910111,0.396881364,0
-0.097512995,-0.060168487,0
-0.178905378,-0.102391908,0
-0.293403395,-0.180861775,0
-0.378926325,-0.253401003,0
-0.04708662,0.09531018,1
0.182684959,0.048790164,0
0.021767699,0.371563556,0
0.016977692,0.084557388,0
0.081527969,0.187211542,0
-0.522274111,0.057158414,1
0.299895506,0.376820785,0
0.597609318,0.322615491,0
0.454952976,0.13348591,0
-0.055059777,0.145836247,1
-0.137621378,0.292957381,1
-0.245717873,0.321465891,1
-0.055059777,0.145836247,1
-0.137621378,0.292957381,1
-0.245717873,0.321465891,1
-0.224377095,0.618144,1
0.049267779,0.133443,0
0.018531528,0.337968,0
0.023632641,-0.110347059,1
0.176693254,0.022603799,0
0.239312757,0.093820903,0
-0.172300874,-0.847789537,0
0.997007844,-0.473557337,1
0.500803754,-0.029639845,1
1.276024584,-0.378314119,1
0.257262027,0.150451223,0
0.27423775,-0.001805189,1
0.257262027,0.150451223,0
0.27423775,-0.001805189,1
0.019856248,-0.055194879,1
-0.803890332,-0.508441832,0
-0.156584511,-0.102976724,0
-0.107502991,-0.286420243,0
-0.931249572,-0.739667196,0
-0.28394375,-0.334202088,0
0.174310833,0.019096697,0
-0.649435747,-0.434150256,0
-0.002129926,-0.028685148,0
-1.078756041,-1.601119386,0
-1.20611528,-1.832344749,0
-0.924301456,-1.526827809,0
-0.030771659,0.157003749,1
0.330683508,0.607952334,0
0.158470341,0.39877612,0
0.220311261,0.688134639,0
0.1198012,0.326902786,0
0.339354083,0.634811604,0
-0.985004624,-1.00144854,0
-0.626657439,-0.763037517,0
-0.083041993,0.109902774,1
0.344254377,0.52702031,0
-0.194267628,-0.05984,0
-0.460053298,-0.607444876,0
-0.790736997,-0.94160854,0
-0.432389811,-0.703197516,0
-0.265785671,-0.547604875,0
-0.737931313,-0.459009071,0
-0.7169434,-0.277901067,0
-0.554225766,-0.388532869,0
-1.024591347,-0.465592312,0
-0.643598613,-0.962052344,0
-0.826705351,-0.180078186,0
-0.479155029,-0.043836958,0
-0.643598613,-0.962052344,0
-0.826705351,-0.180078186,0
-0.479155029,-0.043836958,0
-0.830840044,1.014986646,1
-0.947476948,0.410646536,1
1.192534084,0.381603868,0
-0.830840044,1.014986646,1
-0.947476948,0.410646536,1
1.192534084,0.381603868,0
-0.012002046,-0.314116257,0
-0.241995957,0.189542412,1
-0.305380578,-0.110207174,0
-0.773955522,-0.440868395,0
-0.910447728,-0.338217711,0
-0.012002046,-0.314116257,0
-0.241995957,0.189542412,1
-0.305380578,-0.110207174,0
-0.773955522,-0.440868395,0
-0.910447728,-0.338217711,0
0.021961667,0.371563556,0
-0.522274111,0.057158414,1
-0.42038551,-0.46962099,0
-0.529045962,-0.544643338,0
-1.484519169,-0.921209684,0
0.15816231,-0.077354002,1
0.050229696,-0.365930169,1
-0.195537664,-0.359303349,0
-0.437791082,-0.52611494,0
-0.42038551,-0.46962099,0
-0.529045962,-0.544643338,0
-1.484519169,-0.921209684,0
0.15816231,-0.077354002,1
0.050229696,-0.365930169,1
-0.195537664,-0.359303349,0
-0.437791082,-0.52611494,0
-0.163683024,0.117246123,1
-0.163683024,0.117246123,1
-0.055117316,0.064247529,1
0.05456425,-0.142293944,1
-0.188274533,0.456329611,1
-0.07085403,-0.073743877,0
