label,study_code,StressorOne,StressorTwo,BiomassVariable,DecompositionVariable,HedgesdAdditive_X,HedgesdAdditive_Y,CI_Y,CI_X,quad
1,Piggott_2012,Temperature,Habitat Alteration,Algal biomass,leaf mass loss,-1.694025158,-0.972840534,1.662243499411082,1.7814401334758347,ANTS
2,Piggott_2012,Temperature,Nutrients,Algal biomass,leaf mass loss,0.772454463,-1.498272531,1.7436058221150788,1.639637977156177,MISMATCH
3,Thompson_2011,Temperature,Salinity,zoop biomass,Decompostion rate,-2.180181822,-0.890936447,1.2639726119532813,1.379071176266693,ANTS
4,Thompson_2011,Temperature,Salinity,chl-a,Decompostion rate,0.770693249,-0.890936447,1.2639726119532813,1.2578854308160183,MISMATCH
5,Piggott_2015,Temperature,Habitat Alteration,Algal biomass,Dried leaf pack mass percentage loss ,-0.712107133,-0.410877759,1.3932217721192848,1.4077204779176866,ANTS
6,Piggott_2015,Temperature,Nutrients,Algal biomass,Dried leaf pack mass percentage loss ,-0.238248084,-0.307736811,1.3900248088928486,1.3883854995595424,ANTS
7,Matthaei_2010,Habitat Alteration,Habitat Alteration,Algal biomass,leaf mass loss,-3.5798096213478736,-0.6523974099122515,1.642352756890146,2.5813924835807165,ANTS
8,Matthaei_2010,Nutrification,Habitat Alteration,Algal biomass,leaf mass loss,2.9320994358911996,-2.2607787402150104,2.0487329531464664,2.305063824186229,MISMATCH
9,Matthaei_2010,Habitat Alteration,Nutrification,Algal biomass,leaf mass loss,-0.4285181029849583,2.7109246553870148,2.2167008242500588,1.6185956984485272,MISMATCH
10,Piggott_2012,Habitat Alteration,Nutrification,Algal biomass,leaf mass loss,0.299586955101027,-2.5582360067401684,2.157823474099235,1.6092853642592937,MISMATCH
11,Funck_2013,Nutrification,Contamination,Fungal biomass,leaf mass loss,-2.8001312592292367,-3.8773593162654176,2.3516894046004455,1.9502206259923367,ANTS
12,Fernandes_2009,Nutrification,Contamination,fungi,leaf mass loss,-1.0722478206673622,0.9567699269589302,1.689413952517749,1.7114698029787574,MISMATCH
