Code,Study ,Year,Author,Journal,Location,Organism,Response,Experiment,S1,S2,stressor_pair,Response,Variable,S1_mean,S1_sd,S1_n,S2_mean,S2_sd,S2_n,S1_S2_mean,S1_S2_sd,S1_S2_n,C_mean,C_sd,C_n,Predicted_additive_effect _multiplicative_risk ,Predicted additive effect based on Thompson paper - only relevent for population level responses ,Additive,Dominance
F,23,2006,Relyea,Ecotoxicology,USA,Vertebrate,Population,Mesocosm,Contamination,Acidification,Acidification x Contamination,Animal Survival,R. clamitans survival,79.42,7,4,74.4,15,2,71.2,10.8,4,64.6,13.9,4,91.46823529,89.22,89.22,14.82
F,23,2006,Relyea,Ecotoxicology,USA,Vertebrate,Population,Mesocosm,Contamination,Acidification,Acidification x Contamination,Animal Survival,R. catesbeiana survival,59.19,10.5,4,78.2,8,2,64.9,3.4,4,70,4.4,4,66.12368571,67.39,67.39,8.2
F,4,2004,Chen,Env. Tox. & Chem.,USA,Invertebrate,Community,Lab,Contamination,Acidification,Acidification x Contamination,Reproductivity ,zooplankton reproduction,7.083333333,5.264949854,12,18.83333333,8.288363511,12,15.83333333,8.244373655,12,24.16666667,13.07206135,12,5.520114943,1.75,1.75,-5.333333333
F,1,2006,Christensen,GCB,Canada,Invertebrate,Community,Mesocosm,Acidification,Habitat Alteration,Acidification x Habitat Alteration,Animal biomass/abundance,zooplankton biomass,19.93,3.19,3,22.13,3.19,3,16.75,0.79,3,16.15,1.98,3,27.30965325,25.91,25.91,5.98
F,1,2006,Christensen,GCB,Canada,Producer,Community,Mesocosm,Acidification,Habitat Alteration,Acidification x Habitat Alteration,Plant biomass/abundance,phytoplankton biomass,333.53,68.14,3,173.1,10.74,3,63.52,14.82,3,67.87,6.67,3,850.6562988,438.76,438.76,265.66
F,11,1995,Long,Conservation Biology,USA,Vertebrate,Population,Lab,Acidification,Light,Acidification x UV,Animal Survival,frog egg survival ,0.955,0.007,2,0.975,0.007,2,0.505,0.035,2,0.97,0.014,2,0.95992268,0.96,0.96,0.005
F,12,2002,Pahkala,Conservation Biology,Sweden,Vertebrate,Population,Lab,Acidification,Light,Acidification x UV,Animal Survival,frog egg survival Nothern species,0.822,0.08,3,0.848,0.099,3,0.412,0.077,3,0.876,0.032,3,0.795726027,0.794,0.794,-0.028
F,12,2002,Pahkala,Conservation Biology,Sweden,Vertebrate,Population,Lab,Acidification,Light,Acidification x UV,Animal Survival,frog egg survival Southern species,0.911,0.045,3,0.936,0.001,3,0.917,0.039,3,0.949,0.001,3,0.898520548,0.898,0.898,-0.013
F,51,2013,Clements,Env. Science and Tec.,USA,Invertebrate,Community,Lab,Contamination,Contamination,Contamination x Contamination,Animal biomass/abundance,Total Abundance,213,32,4,600,98,4,279,66,4,806,180,4,158.560794,7,7,-206
F,42,2006,Wacksman,Arch. Environ. Contam. Toxicol.,USA,Vertebrate,Organism,Lab,Contamination,Contamination,Contamination x Contamination,Animal condition/physiological,enzyme activity P.promelas,0.262,0.004,5,0.0495,0.001,5,0.064,0.01,5,0.26,0.01,9,0.049880769,0.0515,0.0515,0.002
F,42,2006,Wacksman,Arch. Environ. Contam. Toxicol.,USA,Vertebrate,Organism,Lab,Contamination,Contamination,Contamination x Contamination,Animal condition/physiological,enzyme activity X.laevis,0.159,0.005,4,0.05,0.003,5,0.055,0.005,4,0.189,0.01,9,0.042063492,0.02,0.02,-0.03
F,24,2006,Boone and Bridges-Britton,Env. Tox. & Chem.,USA,Vertebrate,Population,Mesocosm,Contamination,Contamination,Contamination x Contamination,Animal Survival,Hyla versicolor survival,0.77,0.09,3,0.37,0.1,3,0.66,0.11,3,0.67,0.09,3,0.425223881,0.47,0.47,0.1
F,41,2009,Brodeur,J. Tox. Env. Health A,Argentina,Vertebrate,Population,Lab,Contamination,Contamination,Contamination x Contamination,Animal Survival,survival Rhinella arenarum  tadpoles 28 day exp,0.37,0.06,3,0.43,0.18,3,0.056,0.04,3,0.99,0.01,3,0.160707071,0,-0.19,-0.56
F,88,2013,Vellinger,Aquatic Toxicology,France,Invertebrate,Population,Lab,Contamination,Contamination,Contamination x Contamination,Animal Survival,G.pulex,0.83,0.06,80,0.75,0.08,80,0.76,0.1,80,0.96,0.04,80,0.6484375,0.62,0.62,-0.13
D,51,2013,Clements,Env. Science and Tec.,USA,Invertebrate,Community,Mesocosm,Contamination,Contamination,Contamination x Contamination,Diversity Animal,Richness,20.33,1,4,20.75,1.2,4,19.08,1.6,4,22.8,1.2,4,18.50208333,18.28,18.28,-2.05
D,6,2013,Rotter,J. App. Eco. ,Germany,Producer,Community,Lab,Contamination,Contamination,Contamination x Contamination,Diversity Plant,diatom richness,34,5.66,2,34.5,4.95,2,34,5.66,2,40,11.31,2,29.325,28.5,28.5,-5.5
F,6,2013,Rotter,J. App. Eco. ,Germany,Producer,Community,Lab,Contamination,Contamination,Contamination x Contamination,Plant biomass/abundance,periphyton biomass,1.15,0.45,2,3.35,0.8,2,4.4,1.05,2,1.85,0.15,2,2.082432432,2.65,2.65,1.5
F,31,2013,Magbanua,Freshwater Biology,New Zealand,Invertebrate,Community,Mesocosm ,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Animal biomass/abundance,Invertbrate density ,301.32,5.54,2,207.49,9.35,2,419.7,63.4,2,207.98,42.61,2,300.6100914,300.83,300.83,93.34
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,Chydoridae,3.090295433,1.698243652,4,1.202264435,1.202264435,4,1.122018454,1.071519305,4,1.288249552,1.148153621,4,2.884031503,3.004310315,3.004310315,1.802045881
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,Ostracods ,11220.18454,1.584893192,4,2.089296131,1.737800829,4,85.11380382,1.621810097,4,6.760829754,2.884031503,4,3467.368505,11215.51301,11215.51301,11213.42371
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Population,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,C. diaphanus,1.499684836,1.445439771,4,30.1995172,6.025595861,4,12.88249552,2.511886432,4,19.05460718,5.888436554,4,2.376840287,12.64459486,12.64459486,11.14491002
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,Non-Chydoridae density,10000,1.905460718,4,39.81071706,4.073802778,4,54954.08739,1.995262315,4,77.62471166,2.187761624,4,5128.61384,9962.186005,9962.186005,9922.375288
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Population,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,T. cancriformis,18.62087137,2.344228815,4,323.5936569,7.943282347,4,15.48816619,1.621810097,4,1096.478196,1.412537545,4,5.495408739,0,-754.2636678,-772.8845392
