Status,Code,Study,ID,Year,FirstAuthor,Journal,PersonExtractingData,DateExtracted,Habitat,HabitatDescription,Location,SpeciesDistribution,Latitude,Longitude,Depth,LabFieldMeso,StudyDuration,StudyDurationDays,StudyArea,SampleSize,Replicates,ReplicationNotes,NumberFactorialEffects,ThirdFactorValue,Month,StudyYear,OtherResponseVariables,StressorOne,StressorOneManipulation,StressorOneLevels,StressorOneUnits,StressorOneRange,StressorOneRelativeToBackground,Acclimation,AcclimationNotes,WaterAirStress,StressorTwo,InteractionCode,StressorTwoFurther,StressorTwoManipulation,StressorTwoLevels,StressorTwoUnits,StressorTwoRange,StressorTwoRelativeToBackground,BackgroundAmbientEffectOne,BackgroundAmbientEffectTwo,Genus,Species,Lifestage,TaxaCategory,TaxaFurther,TrophicGroup,OrganisationLevel,ThermalTolerance,Endemic,SpawningDispersal,ResponseVariable,Responsefurther,PlantAnimalOther,ResponseDefined,ResponseUnits,FeedingReported,FeedingRegime,TimeSeries,ResponseTime,LastTimePoint,StressorOneInitialConditions,StressorOneTreatmentConditions,StressorOneDifference,TempDifferenceCateg,StressorTwoInitialConditions,StressorTwoTreatmentConditions,ThirdFactorLevel,C_mean,C_sd,C_n,S1_mean,S1_sd,S1_n,S2_mean,S2_sd,S2_n,S1_S2_mean,S1_S2_sd,S1_S2_n,AdditiveNullModel,MultiplicativeNullModel,DominanceNullModel,Sd_p,n_p,j,s,HedgesdAdditive,VdAdditive,HedgesdMultiplicative,VdMultiplicative,HedgesdDominance,VdDominance,NullModelClosestZero,additive-observed,multi-observed,dom-observed,Add?,Mult?,Dom?,%changeA,%changeB,%difference,Assymetric?,Eco_surprise_larger,Eco_surprise_smaller,Surprise,Temp_asymmetric,secondstress_asym
OriginalData,F,16,38,2012,Piggott,PLoS One,MJ,,Freshwater,Lotic,New Zealand,,-45.10833333,170.7433333,98 m a.s.l,Mesocosm,30 days,30,250ÔøΩ15ÔøΩ15 cm,,NA,,3,,January-March,2007,,Temperature,Gas-fired water heaters,2,celsius,22.2-23.6,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,Sediment,3,mm,,Elevated,22.2 ÔøΩ 0.2 degrees celsius,"2.5ÔøΩ0.4% cover, 0.2ÔøΩ0.02 mm depth",,,,Producer,Plant,,Community,,Native,NA,Decomposition,Decomposition,Other,leaf mass loss,Percentage,No,,No,NA,,22.2 ÔøΩ 0.2 degrees celsius,23.6 ÔøΩ 0.2 degrees celsius,1.4,1 ÔøΩ 3,"2.5ÔøΩ0.4% cover, 0.2ÔøΩ0.02 mm depth",93.9ÔøΩ1.3% cover and 18.5ÔøΩ0.7 mm depth,,2.6,7.3,3,20.9,14.53,3,72.1,11.1,3,78.8,3.85,3,90.4,579.5730769,72.1,12.92924785,3,0.8,9.539076213,-0.972840534,0.719245484,-41.99761618,98.65554249,0.561899274,0.684207266,Dominance,11.6,500.7730769,6.7,N,N,Dominance,703.8461538,2673.076923,1969.230769,Y,,,Within,Y,Y
OriginalData,F,16,39,2012,Piggott,PLoS One,MJ,,Freshwater,Lotic,New Zealand,,-45.10833333,170.7433333,98 m a.s.l,Mesocosm,30 days,30,250ÔøΩ15ÔøΩ15 cm,,NA,,3,,January-March,2007,,Temperature,Gas-fired water heaters,2,celsius,22.2-23.6,Elevated,,,Water,Nutrients,T x Nutrients,,Addition of N and P,3,?g L-1 ,,Elevated,22.2 ÔøΩ 0.2 degrees celsius,"2.5ÔøΩ0.4% cover, 0.2ÔøΩ0.02 mm depth",,,,Producer,Plant,,Community,,Native,NA,Decomposition,Decomposition,Other,leaf mass loss,Percentage,No,,No,NA,,22.2 ÔøΩ 0.2 degrees celsius,23.6 ÔøΩ 0.2 degrees celsius,1.4,1 ÔøΩ 3,2.4ÔøΩ0.4 ÔøΩg N L?1 and 1.9ÔøΩ0.1 ÔøΩg P L?1, 379ÔøΩ2.1 ÔøΩg N L?1 and 222.9ÔøΩ2.5 ÔøΩg P L?1,,2.6,7.3,3,20.9,14.53,3,41.7,16.45,3,31.6,14.8,3,60,335.2038462,41.7,15.51971971,3,0.8,15.16413037,-1.498272531,0.791378921,-16.01694729,14.91903337,-0.532836358,0.682439699,Dominance,28.4,303.6038462,10.1,N,N,Dominance,703.8461538,1503.846154,800,Y,,Smaller,Smaller,Y,Y
,F,130,227,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Nutrients,T x Nutrients,,Added nitrate-N and soluble reactive phosphorus-P. Nutrient addition increased concentrations to levels in the upper range of those regularly recorded in intensively farmed New Zealand streams,2,?g l?1,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,28.9 ÔøΩ 0.5 ?g l?1 and 4.2 ÔøΩ 0.1 ?g l?1 for N and P,,,,Other,Bacteria,,Community,,,NA,Other biomass/abundance,Biomass,Other,Cyanobacteria cell density,Cells cm-2 x1000,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,28.9 ÔøΩ 0.5 ?g l?1 and 4.2 ÔøΩ 0.1 ?g l?1 for N and P,3035 ÔøΩ 46 ?g l?1 for nitrate-N and 247 ÔøΩ 4 ?g l?1 for soluble reactive phosphorus-P ,Ambient,10.035842,28.673837,4,65.94982,226.52328,4,151.14462,296.77036,4,72.5264,114.683584,4,207.058598,993.2360915,151.14462,263.9937906,4,0.869565217,203.5252391,-0.574791218,0.510324529,-3.933748593,0.983574312,-0.335897748,0.503525853,Dominance,134.532198,920.7096915,78.61822,N,N,Dominance,557.1428685,1406.048222,848.9053534,Y,,Smaller,Smaller,Y,Y
OriginalData,F,81,107,2016,Loewen,Ecology,MJ,,Freshwater,Lentic,Canada,,51.02694444,-115.0355556,"2,353 m above sea level elevation",Mesocosm,8 weeks,56,1000 L,32,8,"All combinations of two crossed experimental treat- ments, each consisting of two levels, were replicated eight times for a total of 32 tanks",3,local vs regional species pool,July-September,2013,,Temperature,,2,celsius,18-20,Elevated,,,,Invasion,T x Invasion,,Fish present -introduced Oncorhynchus mykiss (rainbow trout),2,,Present/absent,Elevated,,,,,,Producer,Phytoplankton,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Mean total chlorophyll concentration (alpine zooplankton conditions),?g L-1,,,,56,,18.6 ÔøΩ 2.5 degrees celsius,20.1 ÔøΩ 2.4 degrees celsius,1.5,1 ÔøΩ 3,Fish absent,Fish present,,0.127193714,0.151057897,4,0.15633707,0.146751007,4,1.566590663,0.834583933,4,1.68578265,1.19929369,4,1.595734019,1.925536935,1.566590663,0.599193708,4,0.869565217,0.94798166,0.082599865,0.500213211,-0.219921962,0.501511427,0.109332501,0.50037355,Additive,0.090048631,0.239754285,0.119191987,Additive,N,N,22.9125757,1131.6573,1108.744724,Y,,,Within,,Y
,F,130,228,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Diatom cell density,Cells cm-2 x1000,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,111.37206,149.53126,4,151.39458,24.92188,4,1289.6101,984.414,4,569.5347,299.0626,4,1329.63262,1753.042724,1289.6101,696.308848,4,0.869565217,535.8565342,-1.233454611,0.547544071,-1.920546539,0.615265594,-1.168507766,0.542669075,Dominance,760.09792,1183.508024,720.0754,N,N,Dominance,35.93587117,1057.929646,1021.993775,Y,,Smaller,Smaller,,Y
,F,130,216,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Algal cell density,Cells cm-2 x1000,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,153.2258,161.29032,4,266.12903,290.32268,4,1548.3871,1258.0644,4,701.6129,322.58064,4,1661.29033,2689.304001,1548.3871,912.9658518,4,0.869565217,684.6769004,-1.218826154,0.546423037,-2.524441884,0.699150213,-1.075434838,0.536142503,Dominance,959.67743,1987.691101,846.7742,N,N,Dominance,73.68421637,910.5263604,836.8421441,Y,,Smaller,Smaller,Y,Y
,F,130,215,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Nutrients,T x Nutrients,,Added nitrate-N and soluble reactive phosphorus-P. Nutrient addition increased concentrations to levels in the upper range of those regularly recorded in intensively farmed New Zealand streams,2,?g l?1,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,28.9 ÔøΩ 0.5 ?g l?1 and 4.2 ÔøΩ 0.1 ?g l?1 for N and P,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Algal biomass,Chl a mg / m2,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,28.9 ÔøΩ 0.5 ?g l?1 and 4.2 ÔøΩ 0.1 ?g l?1 for N and P,3035 ÔøΩ 46 ?g l?1 for nitrate-N and 247 ÔøΩ 4 ?g l?1 for soluble reactive phosphorus-P ,Ambient,3.096774,2.3225808,4,4.83871,4.64516,4,31.061092,68.681668,4,22.765274,17.749192,4,32.803028,48.53296252,31.061092,48.67622125,4,0.869565217,36.63610468,-0.238248084,0.501773817,-0.611601202,0.511689251,-0.196902887,0.501211586,Dominance,10.037754,25.76768852,8.295818,N,N,Dominance,56.25002018,903.0144919,846.7644717,Y,,Smaller,Smaller,Y,Y
OriginalData,F,15,28,2003,Moss,J. App. Eco. ,MJ,,Freshwater,Lentic,UK,,53.26666667,-3.05,,Mesocosm,,NA,1ÔøΩ02 m deep and 2 m in diameter,48,NA,,4,Season and fish presence,September,1998,,Temperature,Heating element ,2,celsius,,Elevated,,,Water,Nutrients,T x Nutrients,,Addition of N and P,3,mg L-1,,Elevated,,,,,,Producer,Phytoplankton,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Cyanophyta,ÔøΩm3 ml?1 ÔøΩ 10?6,,,Yes,NA,Yes,,Ambient + 3 degrees celsius,3,1 ÔøΩ 3,,"170 ?g N L-1, 17 ?g P L-1 ",,6.12,1.705,4,23.8,1.705,4,47.6,1.705,4,3.77,1.705,4,65.28,185.1111111,47.6,1.705,4,0.869565217,1.705,-31.37064899,31.25367556,-92.48558516,267.7994832,-22.35369119,16.11523468,Dominance,61.51,181.3411111,43.83,N,N,Dominance,288.8888889,677.7777778,388.8888889,Y,,Smaller,Smaller,Y,Y
,F,130,242,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Small algae (<30 ?m) cell density,Cells cm-2 x1000,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,126.81159,108.69564,4,267.21014,307.97104,4,960.1449,788.04348,4,425.72464,217.39124,4,1100.54345,2023.162498,960.1449,598.2719648,4,0.869565217,450.1045963,-1.303694675,0.553113119,-3.086119115,0.7976291,-1.032456174,0.53331143,Dominance,674.81881,1597.437858,534.42026,N,N,Dominance,110.7142888,657.1428605,546.4285717,Y,,Smaller,Smaller,Y,Y
OriginalData,F,34,53,2013,Knillman,Global Change Biology,MJ,,Freshwater,Lentic,Germany,,51.35361111,12.43194444,,Lab,17 weeks,119,80 L,,NA,,2,,June,2009,,Temperature,Electric heater,2,celsius,,Elevated,,,Water,Contamination,T x Contamination,Pesticide,"Addition of commercial pesticide formula Sumicidin Alpha EC, which contains 50 g L?1 of the active ingredient, esfenvalerate",3,?g L-1 ,0-3,Elevated,,,,,,Invertebrate,Zooplankton,,Community,,,NA,Animal biomass/abundance,Abundance,Animal,Alona_sp,,,,Yes,NA,,Ambient,Ambient + 6.2 degrees celsius,6.2,4 ÔøΩ 7,0 ?g L-1,3 ?g L-1,,1.083333333,2.574643253,12,1.833333333,2.228601953,5,8.2,8.430104784,5,5.4,5.856620186,5,8.95,13.87692308,8.2,6.1657657,5,0.903225806,6.013179969,-0.53323726,0.40568684,-1.273298941,0.432425804,-0.420581501,0.403537776,Dominance,3.55,8.47692308,2.8,N,N,Dominance,69.23076925,656.9230772,587.6923079,Y,,Smaller,Smaller,Y,Y
